yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructoroverall,instructoroverall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,MATH,1071,052,OL,,PULLINS,MARK,34,13,1,3.845703125,1.068115234375,4.615234375,1.19287109375,4-6,3.07666015625,3.69189453125,3.76904296875,3.615234375,3.845703125,5.69140625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,053,OL,,PULLINS,MARK,33,11,1,3.63623046875,1.36181640625,4.7265625,1.009033203125,4-6,2.72705078125,3.72705078125,4.544921875,3.63623046875,3.4541015625,5.8173828125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,054,OL,,PULLINS,MARK,24,9,1,4.1103515625,1.364013671875,5.3330078125,0.865966796875,4-6,3.77734375,4.2216796875,4.666015625,3.77734375,4.2216796875,5.3330078125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,060,OL,,ROY,MICHAEL,107,41,1,3.36572265625,1.156494140625,3.26806640625,1.30419921875,4-6,3.07275390625,2.8291015625,3.75,3.39013671875,3.39013671875,5.169921875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,061,OL,,WILLIAMS,NOAH,29,12,1,4.5,0.797607421875,5.5,0.9044189453125,4-6,3.5830078125,4.75,5,3.66650390625,3.91650390625,5.5830078125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,062,OL,,WILLIAMS,NOAH,33,12,1,4.166015625,1.114501953125,5.25,0.865966796875,0-3,3.3330078125,4.75,4.916015625,3.3330078125,3.75,5.8330078125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,063,OL,,WILLIAMS,NOAH,28,12,1,3.75,0.753662109375,5.3330078125,0.7784423828125,4-6,2.75,4.5830078125,4.8330078125,3.5,3.5,5.75,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,064,OL,,WILLIAMS,NOAH,17,8,1,4,0.92578125,5.5,0.755859375,4-6,3.375,4.625,5,2.875,3.5,5.875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,070,OL,,ROY,MICHAEL,85,36,1,2.8330078125,1.18310546875,2.9443359375,1.371826171875,4-6,2.66650390625,2.3330078125,3.3330078125,3.1943359375,3,5.4716796875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,071,OL,,WILLIS,JOHN,30,10,1,3.599609375,1.173583984375,4.099609375,1.100341796875,4-6,2.7998046875,3.5,4.19921875,3.7998046875,3.69970703125,5.7998046875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
